"day","worm","dilution.factor","cfu","sample.volume","total.volume","bacteria","repeat.","genotype","group"
8,10,100,207,200,500,"Sen",0,"pmk-1","late.exp"
8,1,1000,51,200,500,"Sen",0,"pmk-1","late.exp"
8,2,1000,17,200,500,"Sen",0,"pmk-1","late.exp"
8,3,1000,0,200,500,"Sen",0,"pmk-1","late.exp"
8,4,1000,10,200,500,"Sen",0,"pmk-1","late.exp"
8,5,1000,32,200,500,"Sen",0,"pmk-1","late.exp"
8,6,1000,28,200,500,"Sen",0,"pmk-1","late.exp"
8,7,1000,36,200,500,"Sen",0,"pmk-1","late.exp"
8,8,1000,10,200,500,"Sen",0,"pmk-1","late.exp"
8,9,1000,24,200,500,"Sen",0,"pmk-1","late.exp"
8,10,1000,13,200,500,"Sen",0,"pmk-1","late.exp"
9,1,100,190,200,500,"Sen",0,"pmk-1","control.B"
9,3,100,217,200,500,"Sen",0,"pmk-1","control.B"
9,1,1000,19,200,500,"Sen",0,"pmk-1","control.B"
9,3,1000,29,200,500,"Sen",0,"pmk-1","control.B"
9,1,100,396,200,500,"Sen",0,"pmk-1","control.C"
9,2,100,79,200,500,"Sen",0,"pmk-1","control.C"
9,3,100,106,200,500,"Sen",0,"pmk-1","control.C"
9,4,100,624,200,500,"Sen",0,"pmk-1","control.C"
9,5,100,53,200,500,"Sen",0,"pmk-1","control.C"
9,6,100,331,200,500,"Sen",0,"pmk-1","control.C"
9,7,100,704,200,500,"Sen",0,"pmk-1","control.C"
9,8,100,624,200,500,"Sen",0,"pmk-1","control.C"
9,9,100,1,200,500,"Sen",0,"pmk-1","control.C"
9,1,1000,45,200,500,"Sen",0,"pmk-1","control.C"
9,2,1000,5,200,500,"Sen",0,"pmk-1","control.C"
9,3,1000,15,200,500,"Sen",0,"pmk-1","control.C"
9,4,1000,92,200,500,"Sen",0,"pmk-1","control.C"
9,5,1000,2,200,500,"Sen",0,"pmk-1","control.C"
9,6,1000,52,200,500,"Sen",0,"pmk-1","control.C"
9,7,1000,155,200,500,"Sen",0,"pmk-1","control.C"
9,8,1000,129,200,500,"Sen",0,"pmk-1","control.C"
9,9,1000,0,200,500,"Sen",0,"pmk-1","control.C"
9,1,1,NA,45,500,"Pae",0,"pmk-1","late.exp"
9,2,1,NA,45,500,"Pae",0,"pmk-1","late.exp"
9,3,1,NA,45,500,"Pae",0,"pmk-1","late.exp"
9,4,1,0,45,500,"Pae",0,"pmk-1","late.exp"
9,1,10,52,45,500,"Pae",0,"pmk-1","late.exp"
9,2,10,NA,45,500,"Pae",0,"pmk-1","late.exp"
9,3,10,NA,45,500,"Pae",0,"pmk-1","late.exp"
9,1,100,12,45,500,"Pae",0,"pmk-1","late.exp"
9,2,100,8,45,500,"Pae",0,"pmk-1","late.exp"
9,3,100,62,45,500,"Pae",0,"pmk-1","late.exp"
9,3,1000,12,45,500,"Pae",0,"pmk-1","late.exp"
9,1,100,2,200,500,"Sen",0,"pmk-1","late.exp"
9,2,100,110,200,500,"Sen",0,"pmk-1","late.exp"
9,3,100,111,200,500,"Sen",0,"pmk-1","late.exp"
9,4,100,123,200,500,"Sen",0,"pmk-1","late.exp"
9,2,1000,13,200,500,"Sen",0,"pmk-1","late.exp"
9,3,1000,18,200,500,"Sen",0,"pmk-1","late.exp"
9,4,1000,12,200,500,"Sen",0,"pmk-1","late.exp"
3,1,1,53,45,500,"Sen",0,"N2","control.A"
3,2,1,1,45,500,"Sen",0,"N2","control.A"
3,3,1,86,45,500,"Sen",0,"N2","control.A"
3,4,1,10,45,500,"Sen",0,"N2","control.A"
3,5,1,45,45,500,"Sen",0,"N2","control.A"
3,6,1,24,45,500,"Sen",0,"N2","control.A"
3,7,1,30,45,500,"Sen",0,"N2","control.A"
3,8,1,3,45,500,"Sen",0,"N2","control.A"
3,9,1,10,45,500,"Sen",0,"N2","control.A"
3,10,1,2,45,500,"Sen",0,"N2","control.A"
3,11,1,41,45,500,"Sen",0,"N2","control.A"
3,12,1,2,45,500,"Sen",0,"N2","control.A"
3,13,1,12,45,500,"Sen",0,"N2","control.A"
3,14,1,65,45,500,"Sen",0,"N2","control.A"
3,15,1,27,45,500,"Sen",0,"N2","control.A"
3,16,1,5,45,500,"Sen",0,"N2","control.A"
3,1,10,2,45,500,"Sen",0,"N2","control.A"
3,2,10,0,45,500,"Sen",0,"N2","control.A"
3,3,10,14,45,500,"Sen",0,"N2","control.A"
3,4,10,0,45,500,"Sen",0,"N2","control.A"
3,5,10,10,45,500,"Sen",0,"N2","control.A"
3,6,10,0,45,500,"Sen",0,"N2","control.A"
3,7,10,1,45,500,"Sen",0,"N2","control.A"
3,8,10,0,45,500,"Sen",0,"N2","control.A"
3,9,10,0,45,500,"Sen",0,"N2","control.A"
3,10,10,0,45,500,"Sen",0,"N2","control.A"
3,11,10,1,45,500,"Sen",0,"N2","control.A"
3,12,10,0,45,500,"Sen",0,"N2","control.A"
3,13,10,1,45,500,"Sen",0,"N2","control.A"
3,14,10,4,45,500,"Sen",0,"N2","control.A"
3,15,10,0,45,500,"Sen",0,"N2","control.A"
3,16,10,0,45,500,"Sen",0,"N2","control.A"
4,1,1,106,45,500,"Sen",0,"N2","control.A"
4,2,1,41,45,500,"Sen",0,"N2","control.A"
4,3,1,38,45,500,"Sen",0,"N2","control.A"
4,4,1,157,45,500,"Sen",0,"N2","control.A"
4,5,1,35,45,500,"Sen",0,"N2","control.A"
4,6,1,30,45,500,"Sen",0,"N2","control.A"
4,7,1,80,45,500,"Sen",0,"N2","control.A"
4,8,1,33,45,500,"Sen",0,"N2","control.A"
4,9,1,37,45,500,"Sen",0,"N2","control.A"
4,10,1,33,45,500,"Sen",0,"N2","control.A"
4,11,1,134,45,500,"Sen",0,"N2","control.A"
4,12,1,32,45,500,"Sen",0,"N2","control.A"
4,13,1,51,45,500,"Sen",0,"N2","control.A"
4,14,1,81,45,500,"Sen",0,"N2","control.A"
4,15,1,44,45,500,"Sen",0,"N2","control.A"
4,16,1,37,45,500,"Sen",0,"N2","control.A"
4,1,10,13,45,500,"Sen",0,"N2","control.A"
4,2,10,6,45,500,"Sen",0,"N2","control.A"
4,3,10,6,45,500,"Sen",0,"N2","control.A"
4,4,10,26,45,500,"Sen",0,"N2","control.A"
4,5,10,2,45,500,"Sen",0,"N2","control.A"
4,6,10,1,45,500,"Sen",0,"N2","control.A"
4,7,10,6,45,500,"Sen",0,"N2","control.A"
4,8,10,1,45,500,"Sen",0,"N2","control.A"
4,9,10,0,45,500,"Sen",0,"N2","control.A"
4,10,10,1,45,500,"Sen",0,"N2","control.A"
4,11,10,15,45,500,"Sen",0,"N2","control.A"
4,12,10,5,45,500,"Sen",0,"N2","control.A"
4,13,10,6,45,500,"Sen",0,"N2","control.A"
4,14,10,6,45,500,"Sen",0,"N2","control.A"
4,15,10,3,45,500,"Sen",0,"N2","control.A"
4,16,10,0,45,500,"Sen",0,"N2","control.A"
4,1,100,2,45,500,"Sen",0,"N2","control.A"
4,2,100,0,45,500,"Sen",0,"N2","control.A"
4,3,100,0,45,500,"Sen",0,"N2","control.A"
4,4,100,4,45,500,"Sen",0,"N2","control.A"
4,5,100,0,45,500,"Sen",0,"N2","control.A"
4,6,100,0,45,500,"Sen",0,"N2","control.A"
4,7,100,1,45,500,"Sen",0,"N2","control.A"
4,8,100,0,45,500,"Sen",0,"N2","control.A"
4,9,100,0,45,500,"Sen",0,"N2","control.A"
4,10,100,0,45,500,"Sen",0,"N2","control.A"
4,11,100,1,45,500,"Sen",0,"N2","control.A"
4,12,100,0,45,500,"Sen",0,"N2","control.A"
4,13,100,0,45,500,"Sen",0,"N2","control.A"
4,14,100,1,45,500,"Sen",0,"N2","control.A"
4,15,100,0,45,500,"Sen",0,"N2","control.A"
4,16,100,0,45,500,"Sen",0,"N2","control.A"
5,1,1,115,45,500,"Sen",0,"N2","control.A"
5,2,1,87,45,500,"Sen",0,"N2","control.A"
5,3,1,118,45,500,"Sen",0,"N2","control.A"
5,4,1,39,45,500,"Sen",0,"N2","control.A"
5,5,1,221,45,500,"Sen",0,"N2","control.A"
5,6,1,64,45,500,"Sen",0,"N2","control.A"
5,7,1,327,45,500,"Sen",0,"N2","control.A"
5,8,1,NA,45,500,"Sen",0,"N2","control.A"
5,9,1,NA,45,500,"Sen",0,"N2","control.A"
5,10,1,NA,45,500,"Sen",0,"N2","control.A"
5,11,1,74,45,500,"Sen",0,"N2","control.A"
5,12,1,48,45,500,"Sen",0,"N2","control.A"
5,13,1,NA,45,500,"Sen",0,"N2","control.A"
5,14,1,NA,45,500,"Sen",0,"N2","control.A"
5,15,1,64,45,500,"Sen",0,"N2","control.A"
5,16,1,81,45,500,"Sen",0,"N2","control.A"
5,1,10,11,45,500,"Sen",0,"N2","control.A"
5,2,10,10,45,500,"Sen",0,"N2","control.A"
5,3,10,21,45,500,"Sen",0,"N2","control.A"
5,4,10,4,45,500,"Sen",0,"N2","control.A"
5,5,10,24,45,500,"Sen",0,"N2","control.A"
5,6,10,4,45,500,"Sen",0,"N2","control.A"
5,7,10,56,45,500,"Sen",0,"N2","control.A"
5,8,10,48,45,500,"Sen",0,"N2","control.A"
5,9,10,30,45,500,"Sen",0,"N2","control.A"
